"channel","ddd","amount"
ANDROID,"11",1300
ANDROID,"11",1500
ANDROID,"11",2000
ANDROID,"11",3000
ANDROID,"11",3500
ANDROID,"11",4000
ANDROID,"11",5000
ANDROID,"11",10000
ANDROID,"12",1300
ANDROID,"12",1500
ANDROID,"12",2000
ANDROID,"12",3000
ANDROID,"12",3500
ANDROID,"12",4000
ANDROID,"12",5000
ANDROID,"12",10000
ANDROID,"13",1300
ANDROID,"13",1500
ANDROID,"13",2000
ANDROID,"13",3000
ANDROID,"13",3500
ANDROID,"13",4000
ANDROID,"13",5000
ANDROID,"13",10000
ANDROID,"14",1300
ANDROID,"14",1500
ANDROID,"14",2000
ANDROID,"14",3000
ANDROID,"14",3500
ANDROID,"14",4000
ANDROID,"14",5000
ANDROID,"14",10000
ANDROID,"15",1300
ANDROID,"15",1500
ANDROID,"15",2000
ANDROID,"15",3000
ANDROID,"15",3500
ANDROID,"15",4000
ANDROID,"15",5000
ANDROID,"15",10000
ANDROID,"16",1300
ANDROID,"16",1500
ANDROID,"16",2000
ANDROID,"16",3000
ANDROID,"16",3500
ANDROID,"16",4000
ANDROID,"16",5000
ANDROID,"16",10000
ANDROID,"17",1300
ANDROID,"17",1500
ANDROID,"17",2000
ANDROID,"17",3000
ANDROID,"17",3500
ANDROID,"17",4000
ANDROID,"17",5000
ANDROID,"17",10000
ANDROID,"18",1300
ANDROID,"18",1500
ANDROID,"18",2000
ANDROID,"18",3000
ANDROID,"18",3500
ANDROID,"18",4000
ANDROID,"18",5000
ANDROID,"18",10000
ANDROID,"19",1300
ANDROID,"19",1500
ANDROID,"19",2000
ANDROID,"19",3000
ANDROID,"19",3500
ANDROID,"19",4000
ANDROID,"19",5000
ANDROID,"19",10000
ANDROID,"21",1300
ANDROID,"21",1500
ANDROID,"21",2000
ANDROID,"21",3000
ANDROID,"21",3500
ANDROID,"21",4000
ANDROID,"21",5000
ANDROID,"21",10000
ANDROID,"22",1300
ANDROID,"22",1500
ANDROID,"22",2000
ANDROID,"22",3000
ANDROID,"22",3500
ANDROID,"22",4000
ANDROID,"22",5000
ANDROID,"22",10000
ANDROID,"24",1300
ANDROID,"24",1500
ANDROID,"24",2000
ANDROID,"24",3000
ANDROID,"24",3500
ANDROID,"24",4000
ANDROID,"24",5000
ANDROID,"24",10000
ANDROID,"27",1300
ANDROID,"27",1500
ANDROID,"27",2000
ANDROID,"27",3000
ANDROID,"27",3500
ANDROID,"27",4000
ANDROID,"27",5000
ANDROID,"27",10000
ANDROID,"28",1300
ANDROID,"28",1500
ANDROID,"28",2000
ANDROID,"28",3000
ANDROID,"28",3500
ANDROID,"28",4000
ANDROID,"28",5000
ANDROID,"28",10000
ANDROID,"31",1300
ANDROID,"31",1500
ANDROID,"31",2000
ANDROID,"31",3000
ANDROID,"31",3500
ANDROID,"31",4000
ANDROID,"31",5000
ANDROID,"31",10000
ANDROID,"32",1300
ANDROID,"32",1500
ANDROID,"32",2000
ANDROID,"32",3000
ANDROID,"32",3500
ANDROID,"32",4000
ANDROID,"32",5000
ANDROID,"32",10000
ANDROID,"33",1300
ANDROID,"33",1500
ANDROID,"33",2000
ANDROID,"33",3000
ANDROID,"33",3500
ANDROID,"33",4000
ANDROID,"33",5000
ANDROID,"33",10000
ANDROID,"34",1300
ANDROID,"34",1500
ANDROID,"34",2000
ANDROID,"34",3000
ANDROID,"34",3500
ANDROID,"34",4000
ANDROID,"34",5000
ANDROID,"34",10000
ANDROID,"35",1300
ANDROID,"35",1500
ANDROID,"35",2000
ANDROID,"35",3000
ANDROID,"35",3500
ANDROID,"35",4000
ANDROID,"35",5000
ANDROID,"35",10000
ANDROID,"37",1300
ANDROID,"37",1500
ANDROID,"37",2000
ANDROID,"37",3000
ANDROID,"37",3500
ANDROID,"37",4000
ANDROID,"37",5000
ANDROID,"37",10000
ANDROID,"38",1300
ANDROID,"38",1500
ANDROID,"38",2000
ANDROID,"38",3000
ANDROID,"38",3500
ANDROID,"38",4000
ANDROID,"38",5000
ANDROID,"38",10000
ANDROID,"41",1300
ANDROID,"41",1500
ANDROID,"41",2000
ANDROID,"41",3000
ANDROID,"41",3500
ANDROID,"41",4000
ANDROID,"41",5000
ANDROID,"41",10000
ANDROID,"42",1300
ANDROID,"42",1500
ANDROID,"42",2000
ANDROID,"42",3000
ANDROID,"42",3500
ANDROID,"42",4000
ANDROID,"42",5000
ANDROID,"42",10000
ANDROID,"43",1300
ANDROID,"43",1500
ANDROID,"43",2000
ANDROID,"43",3000
ANDROID,"43",3500
ANDROID,"43",4000
ANDROID,"43",5000
ANDROID,"43",10000
ANDROID,"44",1300
ANDROID,"44",1500
ANDROID,"44",2000
ANDROID,"44",3000
ANDROID,"44",3500
ANDROID,"44",4000
ANDROID,"44",5000
ANDROID,"44",10000
ANDROID,"45",1300
ANDROID,"45",1500
ANDROID,"45",2000
ANDROID,"45",3000
ANDROID,"45",3500
ANDROID,"45",4000
ANDROID,"45",5000
ANDROID,"45",10000
ANDROID,"46",1300
ANDROID,"46",1500
ANDROID,"46",2000
ANDROID,"46",3000
ANDROID,"46",3500
ANDROID,"46",4000
ANDROID,"46",5000
ANDROID,"46",10000
ANDROID,"47",1300
ANDROID,"47",1500
ANDROID,"47",2000
ANDROID,"47",3000
ANDROID,"47",3500
ANDROID,"47",4000
ANDROID,"47",5000
ANDROID,"47",10000
ANDROID,"48",1300
ANDROID,"48",1500
ANDROID,"48",2000
ANDROID,"48",3000
ANDROID,"48",3500
ANDROID,"48",4000
ANDROID,"48",5000
ANDROID,"48",10000
ANDROID,"49",1300
ANDROID,"49",1500
ANDROID,"49",2000
ANDROID,"49",3000
ANDROID,"49",3500
ANDROID,"49",4000
ANDROID,"49",5000
ANDROID,"49",10000
ANDROID,"51",1300
ANDROID,"51",1500
ANDROID,"51",2000
ANDROID,"51",3000
ANDROID,"51",3500
ANDROID,"51",4000
ANDROID,"51",5000
ANDROID,"51",10000
ANDROID,"53",1300
ANDROID,"53",1500
ANDROID,"53",2000
ANDROID,"53",3000
ANDROID,"53",3500
ANDROID,"53",4000
ANDROID,"53",5000
ANDROID,"53",10000
ANDROID,"54",1300
ANDROID,"54",1500
ANDROID,"54",2000
ANDROID,"54",3000
ANDROID,"54",3500
ANDROID,"54",4000
ANDROID,"54",5000
ANDROID,"54",10000
ANDROID,"55",1300
ANDROID,"55",1500
ANDROID,"55",2000
ANDROID,"55",3000
ANDROID,"55",3500
ANDROID,"55",4000
ANDROID,"55",5000
ANDROID,"55",10000
ANDROID,"61",1300
ANDROID,"61",1500
ANDROID,"61",2000
ANDROID,"61",3000
ANDROID,"61",3500
ANDROID,"61",4000
ANDROID,"61",5000
ANDROID,"61",10000
ANDROID,"62",1300
ANDROID,"62",1500
ANDROID,"62",2000
ANDROID,"62",3000
ANDROID,"62",3500
ANDROID,"62",4000
ANDROID,"62",5000
ANDROID,"62",10000
ANDROID,"63",1300
ANDROID,"63",1500
ANDROID,"63",2000
ANDROID,"63",3000
ANDROID,"63",3500
ANDROID,"63",4000
ANDROID,"63",5000
ANDROID,"63",10000
ANDROID,"64",1300
ANDROID,"64",1500
ANDROID,"64",2000
ANDROID,"64",3000
ANDROID,"64",3500
ANDROID,"64",4000
ANDROID,"64",5000
ANDROID,"64",10000
ANDROID,"65",1300
ANDROID,"65",1500
ANDROID,"65",2000
ANDROID,"65",3000
ANDROID,"65",3500
ANDROID,"65",4000
ANDROID,"65",5000
ANDROID,"65",10000
ANDROID,"66",1300
ANDROID,"66",1500
ANDROID,"66",2000
ANDROID,"66",3000
ANDROID,"66",3500
ANDROID,"66",4000
ANDROID,"66",5000
ANDROID,"66",10000
ANDROID,"67",1300
ANDROID,"67",1500
ANDROID,"67",2000
ANDROID,"67",3000
ANDROID,"67",3500
ANDROID,"67",4000
ANDROID,"67",5000
ANDROID,"67",10000
ANDROID,"68",1300
ANDROID,"68",1500
ANDROID,"68",2000
ANDROID,"68",3000
ANDROID,"68",3500
ANDROID,"68",4000
ANDROID,"68",5000
ANDROID,"68",10000
ANDROID,"69",1300
ANDROID,"69",1500
ANDROID,"69",2000
ANDROID,"69",3000
ANDROID,"69",3500
ANDROID,"69",4000
ANDROID,"69",5000
ANDROID,"69",10000
ANDROID,"71",1300
ANDROID,"71",1500
ANDROID,"71",2000
ANDROID,"71",3000
ANDROID,"71",3500
ANDROID,"71",4000
ANDROID,"71",5000
ANDROID,"71",10000
ANDROID,"73",1300
ANDROID,"73",1500
ANDROID,"73",2000
ANDROID,"73",3000
ANDROID,"73",3500
ANDROID,"73",4000
ANDROID,"73",5000
ANDROID,"73",10000
ANDROID,"74",1300
ANDROID,"74",1500
ANDROID,"74",2000
ANDROID,"74",3000
ANDROID,"74",3500
ANDROID,"74",4000
ANDROID,"74",5000
ANDROID,"74",10000
ANDROID,"75",1300
ANDROID,"75",1500
ANDROID,"75",2000
ANDROID,"75",3000
ANDROID,"75",3500
ANDROID,"75",4000
ANDROID,"75",5000
ANDROID,"75",10000
ANDROID,"77",1300
ANDROID,"77",1500
ANDROID,"77",2000
ANDROID,"77",3000
ANDROID,"77",3500
ANDROID,"77",4000
ANDROID,"77",5000
ANDROID,"77",10000
ANDROID,"79",1300
ANDROID,"79",1500
ANDROID,"79",2000
ANDROID,"79",3000
ANDROID,"79",3500
ANDROID,"79",4000
ANDROID,"79",5000
ANDROID,"79",10000
ANDROID,"81",1300
ANDROID,"81",1500
ANDROID,"81",2000
ANDROID,"81",3000
ANDROID,"81",3500
ANDROID,"81",4000
ANDROID,"81",5000
ANDROID,"81",10000
ANDROID,"82",1300
ANDROID,"82",1500
ANDROID,"82",2000
ANDROID,"82",3000
ANDROID,"82",3500
ANDROID,"82",4000
ANDROID,"82",5000
ANDROID,"82",10000
ANDROID,"83",1300
ANDROID,"83",1500
ANDROID,"83",2000
ANDROID,"83",3000
ANDROID,"83",3500
ANDROID,"83",4000
ANDROID,"83",5000
ANDROID,"83",10000
ANDROID,"84",1300
ANDROID,"84",1500
ANDROID,"84",2000
ANDROID,"84",3000
ANDROID,"84",3500
ANDROID,"84",4000
ANDROID,"84",5000
ANDROID,"84",10000
ANDROID,"85",1300
ANDROID,"85",1500
ANDROID,"85",2000
ANDROID,"85",3000
ANDROID,"85",3500
ANDROID,"85",4000
ANDROID,"85",5000
ANDROID,"85",10000
ANDROID,"86",1300
ANDROID,"86",1500
ANDROID,"86",2000
ANDROID,"86",3000
ANDROID,"86",3500
ANDROID,"86",4000
ANDROID,"86",5000
ANDROID,"86",10000
ANDROID,"87",1300
ANDROID,"87",1500
ANDROID,"87",2000
ANDROID,"87",3000
ANDROID,"87",3500
ANDROID,"87",4000
ANDROID,"87",5000
ANDROID,"87",10000
ANDROID,"88",1300
ANDROID,"88",1500
ANDROID,"88",2000
ANDROID,"88",3000
ANDROID,"88",3500
ANDROID,"88",4000
ANDROID,"88",5000
ANDROID,"88",10000
ANDROID,"89",1300
ANDROID,"89",1500
ANDROID,"89",2000
ANDROID,"89",3000
ANDROID,"89",3500
ANDROID,"89",4000
ANDROID,"89",5000
ANDROID,"89",10000
ANDROID,"91",1300
ANDROID,"91",1500
ANDROID,"91",2000
ANDROID,"91",3000
ANDROID,"91",3500
ANDROID,"91",4000
ANDROID,"91",5000
ANDROID,"91",10000
ANDROID,"92",1300
ANDROID,"92",1500
ANDROID,"92",2000
ANDROID,"92",3000
ANDROID,"92",3500
ANDROID,"92",4000
ANDROID,"92",5000
ANDROID,"92",10000
ANDROID,"93",1300
ANDROID,"93",1500
ANDROID,"93",2000
ANDROID,"93",3000
ANDROID,"93",3500
ANDROID,"93",4000
ANDROID,"93",5000
ANDROID,"93",10000
ANDROID,"94",1300
ANDROID,"94",1500
ANDROID,"94",2000
ANDROID,"94",3000
ANDROID,"94",3500
ANDROID,"94",4000
ANDROID,"94",5000
ANDROID,"94",10000
ANDROID,"95",1300
ANDROID,"95",1500
ANDROID,"95",2000
ANDROID,"95",3000
ANDROID,"95",3500
ANDROID,"95",4000
ANDROID,"95",5000
ANDROID,"95",10000
ANDROID,"96",1300
ANDROID,"96",1500
ANDROID,"96",2000
ANDROID,"96",3000
ANDROID,"96",3500
ANDROID,"96",4000
ANDROID,"96",5000
ANDROID,"96",10000
ANDROID,"97",1300
ANDROID,"97",1500
ANDROID,"97",2000
ANDROID,"97",3000
ANDROID,"97",3500
ANDROID,"97",4000
ANDROID,"97",5000
ANDROID,"97",10000
ANDROID,"98",1300
ANDROID,"98",1500
ANDROID,"98",2000
ANDROID,"98",3000
ANDROID,"98",3500
ANDROID,"98",4000
ANDROID,"98",5000
ANDROID,"98",10000
ANDROID,"99",1300
ANDROID,"99",1500
ANDROID,"99",2000
ANDROID,"99",3000
ANDROID,"99",3500
ANDROID,"99",4000
ANDROID,"99",5000
ANDROID,"99",10000
APP_MINHA_CLARO,"11",1300
APP_MINHA_CLARO,"11",1500
APP_MINHA_CLARO,"11",2000
APP_MINHA_CLARO,"11",3000
APP_MINHA_CLARO,"11",3500
APP_MINHA_CLARO,"11",4000
APP_MINHA_CLARO,"11",5000
APP_MINHA_CLARO,"11",10000
APP_MINHA_CLARO,"12",1300
APP_MINHA_CLARO,"12",1500
APP_MINHA_CLARO,"12",2000
APP_MINHA_CLARO,"12",3000
APP_MINHA_CLARO,"12",3500
APP_MINHA_CLARO,"12",4000
APP_MINHA_CLARO,"12",5000
APP_MINHA_CLARO,"12",10000
APP_MINHA_CLARO,"13",1300
APP_MINHA_CLARO,"13",1500
APP_MINHA_CLARO,"13",2000
APP_MINHA_CLARO,"13",3000
APP_MINHA_CLARO,"13",3500
APP_MINHA_CLARO,"13",4000
APP_MINHA_CLARO,"13",5000
APP_MINHA_CLARO,"13",10000
APP_MINHA_CLARO,"14",1300
APP_MINHA_CLARO,"14",1500
APP_MINHA_CLARO,"14",2000
APP_MINHA_CLARO,"14",3000
APP_MINHA_CLARO,"14",3500
APP_MINHA_CLARO,"14",4000
APP_MINHA_CLARO,"14",5000
APP_MINHA_CLARO,"14",10000
APP_MINHA_CLARO,"15",1300
APP_MINHA_CLARO,"15",1500
APP_MINHA_CLARO,"15",2000
APP_MINHA_CLARO,"15",3000
APP_MINHA_CLARO,"15",3500
APP_MINHA_CLARO,"15",4000
APP_MINHA_CLARO,"15",5000
APP_MINHA_CLARO,"15",10000
APP_MINHA_CLARO,"16",1300
APP_MINHA_CLARO,"16",1500
APP_MINHA_CLARO,"16",2000
APP_MINHA_CLARO,"16",3000
APP_MINHA_CLARO,"16",3500
APP_MINHA_CLARO,"16",4000
APP_MINHA_CLARO,"16",5000
APP_MINHA_CLARO,"16",10000
APP_MINHA_CLARO,"17",1300
APP_MINHA_CLARO,"17",1500
APP_MINHA_CLARO,"17",2000
APP_MINHA_CLARO,"17",3000
APP_MINHA_CLARO,"17",3500
APP_MINHA_CLARO,"17",4000
APP_MINHA_CLARO,"17",5000
APP_MINHA_CLARO,"17",10000
APP_MINHA_CLARO,"18",1300
APP_MINHA_CLARO,"18",1500
APP_MINHA_CLARO,"18",2000
APP_MINHA_CLARO,"18",3000
APP_MINHA_CLARO,"18",3500
APP_MINHA_CLARO,"18",4000
APP_MINHA_CLARO,"18",5000
APP_MINHA_CLARO,"18",10000
APP_MINHA_CLARO,"19",1300
APP_MINHA_CLARO,"19",1500
APP_MINHA_CLARO,"19",2000
APP_MINHA_CLARO,"19",3000
APP_MINHA_CLARO,"19",3500
APP_MINHA_CLARO,"19",4000
APP_MINHA_CLARO,"19",5000
APP_MINHA_CLARO,"19",10000
APP_MINHA_CLARO,"21",1300
APP_MINHA_CLARO,"21",1500
APP_MINHA_CLARO,"21",2000
APP_MINHA_CLARO,"21",3000
APP_MINHA_CLARO,"21",3500
APP_MINHA_CLARO,"21",4000
APP_MINHA_CLARO,"21",5000
APP_MINHA_CLARO,"21",10000
APP_MINHA_CLARO,"22",1300
APP_MINHA_CLARO,"22",1500
APP_MINHA_CLARO,"22",2000
APP_MINHA_CLARO,"22",3000
APP_MINHA_CLARO,"22",3500
APP_MINHA_CLARO,"22",4000
APP_MINHA_CLARO,"22",5000
APP_MINHA_CLARO,"22",10000
APP_MINHA_CLARO,"24",1300
APP_MINHA_CLARO,"24",1500
APP_MINHA_CLARO,"24",2000
APP_MINHA_CLARO,"24",3000
APP_MINHA_CLARO,"24",3500
APP_MINHA_CLARO,"24",4000
APP_MINHA_CLARO,"24",5000
APP_MINHA_CLARO,"24",10000
APP_MINHA_CLARO,"27",1300
APP_MINHA_CLARO,"27",1500
APP_MINHA_CLARO,"27",2000
APP_MINHA_CLARO,"27",3000
APP_MINHA_CLARO,"27",3500
APP_MINHA_CLARO,"27",4000
APP_MINHA_CLARO,"27",5000
APP_MINHA_CLARO,"27",10000
APP_MINHA_CLARO,"28",1300
APP_MINHA_CLARO,"28",1500
APP_MINHA_CLARO,"28",2000
APP_MINHA_CLARO,"28",3000
APP_MINHA_CLARO,"28",3500
APP_MINHA_CLARO,"28",4000
APP_MINHA_CLARO,"28",5000
APP_MINHA_CLARO,"28",10000
APP_MINHA_CLARO,"31",1300
APP_MINHA_CLARO,"31",1500
APP_MINHA_CLARO,"31",2000
APP_MINHA_CLARO,"31",3000
APP_MINHA_CLARO,"31",3500
APP_MINHA_CLARO,"31",4000
APP_MINHA_CLARO,"31",5000
APP_MINHA_CLARO,"31",10000
APP_MINHA_CLARO,"32",1300
APP_MINHA_CLARO,"32",1500
APP_MINHA_CLARO,"32",2000
APP_MINHA_CLARO,"32",3000
APP_MINHA_CLARO,"32",3500
APP_MINHA_CLARO,"32",4000
APP_MINHA_CLARO,"32",5000
APP_MINHA_CLARO,"32",10000
APP_MINHA_CLARO,"33",1300
APP_MINHA_CLARO,"33",1500
APP_MINHA_CLARO,"33",2000
APP_MINHA_CLARO,"33",3000
APP_MINHA_CLARO,"33",3500
APP_MINHA_CLARO,"33",4000
APP_MINHA_CLARO,"33",5000
APP_MINHA_CLARO,"33",10000
APP_MINHA_CLARO,"34",1300
APP_MINHA_CLARO,"34",1500
APP_MINHA_CLARO,"34",2000
APP_MINHA_CLARO,"34",3000
APP_MINHA_CLARO,"34",3500
APP_MINHA_CLARO,"34",4000
APP_MINHA_CLARO,"34",5000
APP_MINHA_CLARO,"34",10000
APP_MINHA_CLARO,"35",1300
APP_MINHA_CLARO,"35",1500
APP_MINHA_CLARO,"35",2000
APP_MINHA_CLARO,"35",3000
APP_MINHA_CLARO,"35",3500
APP_MINHA_CLARO,"35",4000
APP_MINHA_CLARO,"35",5000
APP_MINHA_CLARO,"35",10000
APP_MINHA_CLARO,"37",1300
APP_MINHA_CLARO,"37",1500
APP_MINHA_CLARO,"37",2000
APP_MINHA_CLARO,"37",3000
APP_MINHA_CLARO,"37",3500
APP_MINHA_CLARO,"37",4000
APP_MINHA_CLARO,"37",5000
APP_MINHA_CLARO,"37",10000
APP_MINHA_CLARO,"38",1300
APP_MINHA_CLARO,"38",1500
APP_MINHA_CLARO,"38",2000
APP_MINHA_CLARO,"38",3000
APP_MINHA_CLARO,"38",3500
APP_MINHA_CLARO,"38",4000
APP_MINHA_CLARO,"38",5000
APP_MINHA_CLARO,"38",10000
APP_MINHA_CLARO,"41",1300
APP_MINHA_CLARO,"41",1500
APP_MINHA_CLARO,"41",2000
APP_MINHA_CLARO,"41",3000
APP_MINHA_CLARO,"41",3500
APP_MINHA_CLARO,"41",4000
APP_MINHA_CLARO,"41",5000
APP_MINHA_CLARO,"41",10000
APP_MINHA_CLARO,"42",1300
APP_MINHA_CLARO,"42",1500
APP_MINHA_CLARO,"42",2000
APP_MINHA_CLARO,"42",3000
APP_MINHA_CLARO,"42",3500
APP_MINHA_CLARO,"42",4000
APP_MINHA_CLARO,"42",5000
APP_MINHA_CLARO,"42",10000
APP_MINHA_CLARO,"43",1300
APP_MINHA_CLARO,"43",1500
APP_MINHA_CLARO,"43",2000
APP_MINHA_CLARO,"43",3000
APP_MINHA_CLARO,"43",3500
APP_MINHA_CLARO,"43",4000
APP_MINHA_CLARO,"43",5000
APP_MINHA_CLARO,"43",10000
APP_MINHA_CLARO,"44",1300
APP_MINHA_CLARO,"44",1500
APP_MINHA_CLARO,"44",2000
APP_MINHA_CLARO,"44",3000
APP_MINHA_CLARO,"44",3500
APP_MINHA_CLARO,"44",4000
APP_MINHA_CLARO,"44",5000
APP_MINHA_CLARO,"44",10000
APP_MINHA_CLARO,"45",1300
APP_MINHA_CLARO,"45",1500
APP_MINHA_CLARO,"45",2000
APP_MINHA_CLARO,"45",3000
APP_MINHA_CLARO,"45",3500
APP_MINHA_CLARO,"45",4000
APP_MINHA_CLARO,"45",5000
APP_MINHA_CLARO,"45",10000
APP_MINHA_CLARO,"46",1300
APP_MINHA_CLARO,"46",1500
APP_MINHA_CLARO,"46",2000
APP_MINHA_CLARO,"46",3000
APP_MINHA_CLARO,"46",3500
APP_MINHA_CLARO,"46",4000
APP_MINHA_CLARO,"46",5000
APP_MINHA_CLARO,"46",10000
APP_MINHA_CLARO,"47",1300
APP_MINHA_CLARO,"47",1500
APP_MINHA_CLARO,"47",2000
APP_MINHA_CLARO,"47",3000
APP_MINHA_CLARO,"47",3500
APP_MINHA_CLARO,"47",4000
APP_MINHA_CLARO,"47",5000
APP_MINHA_CLARO,"47",10000
APP_MINHA_CLARO,"48",1300
APP_MINHA_CLARO,"48",1500
APP_MINHA_CLARO,"48",2000
APP_MINHA_CLARO,"48",3000
APP_MINHA_CLARO,"48",3500
APP_MINHA_CLARO,"48",4000
APP_MINHA_CLARO,"48",5000
APP_MINHA_CLARO,"48",10000
APP_MINHA_CLARO,"49",1300
APP_MINHA_CLARO,"49",1500
APP_MINHA_CLARO,"49",2000
APP_MINHA_CLARO,"49",3000
APP_MINHA_CLARO,"49",3500
APP_MINHA_CLARO,"49",4000
APP_MINHA_CLARO,"49",5000
APP_MINHA_CLARO,"49",10000
APP_MINHA_CLARO,"51",1300
APP_MINHA_CLARO,"51",1500
APP_MINHA_CLARO,"51",2000
APP_MINHA_CLARO,"51",3000
APP_MINHA_CLARO,"51",3500
APP_MINHA_CLARO,"51",4000
APP_MINHA_CLARO,"51",5000
APP_MINHA_CLARO,"51",10000
APP_MINHA_CLARO,"53",1300
APP_MINHA_CLARO,"53",1500
APP_MINHA_CLARO,"53",2000
APP_MINHA_CLARO,"53",3000
APP_MINHA_CLARO,"53",3500
APP_MINHA_CLARO,"53",4000
APP_MINHA_CLARO,"53",5000
APP_MINHA_CLARO,"53",10000
APP_MINHA_CLARO,"54",1300
APP_MINHA_CLARO,"54",1500
APP_MINHA_CLARO,"54",2000
APP_MINHA_CLARO,"54",3000
APP_MINHA_CLARO,"54",3500
APP_MINHA_CLARO,"54",4000
APP_MINHA_CLARO,"54",5000
APP_MINHA_CLARO,"54",10000
APP_MINHA_CLARO,"55",1300
APP_MINHA_CLARO,"55",1500
APP_MINHA_CLARO,"55",2000
APP_MINHA_CLARO,"55",3000
APP_MINHA_CLARO,"55",3500
APP_MINHA_CLARO,"55",4000
APP_MINHA_CLARO,"55",5000
APP_MINHA_CLARO,"55",10000
APP_MINHA_CLARO,"61",1300
APP_MINHA_CLARO,"61",1500
APP_MINHA_CLARO,"61",2000
APP_MINHA_CLARO,"61",3000
APP_MINHA_CLARO,"61",3500
APP_MINHA_CLARO,"61",4000
APP_MINHA_CLARO,"61",5000
APP_MINHA_CLARO,"61",10000
APP_MINHA_CLARO,"62",1300
APP_MINHA_CLARO,"62",1500
APP_MINHA_CLARO,"62",2000
APP_MINHA_CLARO,"62",3000
APP_MINHA_CLARO,"62",3500
APP_MINHA_CLARO,"62",4000
APP_MINHA_CLARO,"62",5000
APP_MINHA_CLARO,"62",10000
APP_MINHA_CLARO,"63",1000
APP_MINHA_CLARO,"63",1300
APP_MINHA_CLARO,"63",1500
APP_MINHA_CLARO,"63",2000
APP_MINHA_CLARO,"63",3000
APP_MINHA_CLARO,"63",3500
APP_MINHA_CLARO,"63",4000
APP_MINHA_CLARO,"63",5000
APP_MINHA_CLARO,"63",10000
APP_MINHA_CLARO,"64",1300
APP_MINHA_CLARO,"64",1500
APP_MINHA_CLARO,"64",2000
APP_MINHA_CLARO,"64",3000
APP_MINHA_CLARO,"64",3500
APP_MINHA_CLARO,"64",4000
APP_MINHA_CLARO,"64",5000
APP_MINHA_CLARO,"64",10000
APP_MINHA_CLARO,"65",1300
APP_MINHA_CLARO,"65",1500
APP_MINHA_CLARO,"65",2000
APP_MINHA_CLARO,"65",3000
APP_MINHA_CLARO,"65",3500
APP_MINHA_CLARO,"65",4000
APP_MINHA_CLARO,"65",5000
APP_MINHA_CLARO,"65",10000
APP_MINHA_CLARO,"66",1300
APP_MINHA_CLARO,"66",1500
APP_MINHA_CLARO,"66",2000
APP_MINHA_CLARO,"66",3000
APP_MINHA_CLARO,"66",3500
APP_MINHA_CLARO,"66",4000
APP_MINHA_CLARO,"66",5000
APP_MINHA_CLARO,"66",10000
APP_MINHA_CLARO,"67",1300
APP_MINHA_CLARO,"67",1500
APP_MINHA_CLARO,"67",2000
APP_MINHA_CLARO,"67",3000
APP_MINHA_CLARO,"67",3500
APP_MINHA_CLARO,"67",4000
APP_MINHA_CLARO,"67",5000
APP_MINHA_CLARO,"67",10000
APP_MINHA_CLARO,"68",1000
APP_MINHA_CLARO,"68",1300
APP_MINHA_CLARO,"68",1500
APP_MINHA_CLARO,"68",2000
APP_MINHA_CLARO,"68",3000
APP_MINHA_CLARO,"68",3500
APP_MINHA_CLARO,"68",4000
APP_MINHA_CLARO,"68",5000
APP_MINHA_CLARO,"68",10000
APP_MINHA_CLARO,"69",1000
APP_MINHA_CLARO,"69",1300
APP_MINHA_CLARO,"69",1500
APP_MINHA_CLARO,"69",2000
APP_MINHA_CLARO,"69",3000
APP_MINHA_CLARO,"69",3500
APP_MINHA_CLARO,"69",4000
APP_MINHA_CLARO,"69",5000
APP_MINHA_CLARO,"69",10000
APP_MINHA_CLARO,"71",1000
APP_MINHA_CLARO,"71",1300
APP_MINHA_CLARO,"71",1500
APP_MINHA_CLARO,"71",2000
APP_MINHA_CLARO,"71",3000
APP_MINHA_CLARO,"71",3500
APP_MINHA_CLARO,"71",4000
APP_MINHA_CLARO,"71",5000
APP_MINHA_CLARO,"71",10000
APP_MINHA_CLARO,"73",1000
APP_MINHA_CLARO,"73",1300
APP_MINHA_CLARO,"73",1500
APP_MINHA_CLARO,"73",2000
APP_MINHA_CLARO,"73",3000
APP_MINHA_CLARO,"73",3500
APP_MINHA_CLARO,"73",4000
APP_MINHA_CLARO,"73",5000
APP_MINHA_CLARO,"73",10000
APP_MINHA_CLARO,"74",1000
APP_MINHA_CLARO,"74",1300
APP_MINHA_CLARO,"74",1500
APP_MINHA_CLARO,"74",2000
APP_MINHA_CLARO,"74",3000
APP_MINHA_CLARO,"74",3500
APP_MINHA_CLARO,"74",4000
APP_MINHA_CLARO,"74",5000
APP_MINHA_CLARO,"74",10000
APP_MINHA_CLARO,"75",1000
APP_MINHA_CLARO,"75",1300
APP_MINHA_CLARO,"75",1500
APP_MINHA_CLARO,"75",2000
APP_MINHA_CLARO,"75",3000
APP_MINHA_CLARO,"75",3500
APP_MINHA_CLARO,"75",4000
APP_MINHA_CLARO,"75",5000
APP_MINHA_CLARO,"75",10000
APP_MINHA_CLARO,"77",1000
APP_MINHA_CLARO,"77",1300
APP_MINHA_CLARO,"77",1500
APP_MINHA_CLARO,"77",2000
APP_MINHA_CLARO,"77",3000
APP_MINHA_CLARO,"77",3500
APP_MINHA_CLARO,"77",4000
APP_MINHA_CLARO,"77",5000
APP_MINHA_CLARO,"77",10000
APP_MINHA_CLARO,"79",1000
APP_MINHA_CLARO,"79",1300
APP_MINHA_CLARO,"79",1500
APP_MINHA_CLARO,"79",2000
APP_MINHA_CLARO,"79",3000
